iter	Passed	Remaining
0	64	51416
1	70	28230
2	77	20466
3	82	16489
4	90	14410
5	97	12884
6	104	11804
7	111	11006
8	117	10344
9	123	9788
10	131	9429
11	138	9099
12	145	8818
13	151	8521
14	159	8340
15	166	8149
16	172	7935
17	178	7767
18	186	7683
19	193	7538
20	199	7412
21	206	7289
22	212	7189
23	219	7111
24	225	6981
25	231	6888
26	238	6819
27	244	6742
28	250	6662
29	256	6577
30	262	6499
31	267	6424
32	273	6364
33	279	6301
34	285	6244
35	292	6199
36	298	6154
37	303	6092
38	309	6046
39	316	6006
40	322	5975
41	328	5935
42	336	5916
43	342	5888
44	349	5861
45	356	5848
46	364	5838
47	370	5802
48	376	5773
49	383	5759
50	390	5734
51	398	5734
52	405	5715
53	412	5699
54	419	5677
55	425	5648
56	432	5635
57	438	5615
58	445	5592
59	450	5559
60	457	5546
61	464	5530
62	470	5504
63	477	5486
64	483	5462
65	488	5435
66	497	5442
67	504	5425
68	510	5409
69	517	5394
70	523	5373
71	531	5372
72	538	5362
73	545	5351
74	551	5330
75	557	5307
76	563	5292
77	570	5284
78	577	5271
79	586	5274
80	593	5271
81	600	5258
82	607	5249
83	614	5236
84	621	5227
85	628	5219
86	635	5207
87	642	5198
88	649	5188
89	655	5174
90	662	5160
91	669	5153
92	676	5140
93	679	5102
94	686	5090
95	692	5076
96	700	5074
97	707	5067
98	714	5061
99	721	5050
100	728	5041
101	736	5036
102	743	5028
103	750	5019
104	756	5008
105	763	5000
106	771	4993
107	778	4985
108	784	4975
109	791	4962
110	797	4953
111	805	4945
112	812	4936
113	818	4923
114	826	4920
115	832	4910
116	839	4902
117	846	4890
118	853	4883
119	860	4873
120	866	4863
121	873	4852
122	880	4844
123	887	4835
124	893	4823
125	899	4809
126	905	4796
127	912	4791
128	919	4784
129	927	4780
130	934	4770
131	941	4764
132	947	4752
133	954	4743
134	961	4737
135	968	4728
136	974	4716
137	981	4708
138	988	4699
139	996	4697
140	1004	4693
141	1012	4690
142	1018	4680
143	1025	4670
144	1032	4664
145	1040	4659
146	1047	4651
147	1054	4646
148	1061	4638
149	1064	4614
150	1070	4601
151	1077	4595
152	1086	4592
153	1093	4587
154	1101	4584
155	1108	4575
156	1115	4569
157	1123	4563
158	1130	4556
159	1136	4546
160	1143	4539
161	1150	4530
162	1156	4521
163	1163	4512
164	1170	4503
165	1176	4494
166	1183	4487
167	1191	4482
168	1199	4478
169	1206	4471
170	1213	4463
171	1220	4455
172	1226	4446
173	1234	4442
174	1242	4436
175	1248	4427
176	1256	4421
177	1263	4413
178	1271	4409
179	1277	4400
180	1284	4394
181	1289	4377
182	1295	4368
183	1303	4364
184	1311	4358
185	1318	4351
186	1325	4344
187	1332	4336
188	1340	4332
189	1347	4325
190	1353	4315
191	1361	4310
192	1367	4300
193	1374	4292
194	1381	4286
195	1387	4276
196	1394	4269
197	1402	4262
198	1408	4255
199	1414	4244
200	1421	4236
201	1427	4227
202	1435	4221
203	1442	4212
204	1449	4205
205	1456	4199
206	1463	4191
207	1469	4182
208	1476	4174
209	1482	4165
210	1488	4155
211	1495	4149
212	1502	4140
213	1508	4130
214	1515	4123
215	1522	4116
216	1529	4110
217	1536	4103
218	1543	4094
219	1549	4085
220	1556	4077
221	1562	4068
222	1569	4061
223	1575	4051
224	1581	4042
225	1589	4036
226	1595	4028
227	1602	4020
228	1609	4012
229	1616	4004
230	1623	3999
231	1631	3993
232	1639	3989
233	1647	3985
234	1654	3976
235	1662	3972
236	1668	3963
237	1674	3954
238	1682	3950
239	1690	3944
240	1698	3939
241	1705	3932
242	1712	3925
243	1720	3920
244	1727	3912
245	1734	3905
246	1742	3901
247	1750	3896
248	1759	3892
249	1766	3886
250	1773	3879
251	1780	3872
252	1787	3864
253	1794	3857
254	1803	3854
255	1810	3846
256	1817	3840
257	1823	3831
258	1831	3826
259	1839	3819
260	1847	3815
261	1854	3808
262	1862	3802
263	1869	3795
264	1876	3787
265	1882	3779
266	1889	3772
267	1896	3764
268	1903	3756
269	1910	3749
270	1916	3741
271	1924	3734
272	1931	3729
273	1938	3721
274	1945	3714
275	1952	3706
276	1959	3700
277	1966	3693
278	1974	3686
279	1981	3679
280	1988	3671
281	1996	3666
282	2004	3661
283	2012	3655
284	2019	3650
285	2026	3642
286	2033	3635
287	2041	3628
288	2048	3622
289	2054	3613
290	2061	3606
291	2068	3598
292	2075	3591
293	2082	3584
294	2090	3578
295	2096	3570
296	2104	3564
